episode_id,timestamp,mode,contact_occurred,touchdown_time_seconds,landing_velocity_fps,fuel_remaining_units,reward,turns,min_altitude,max_speed,policy_params_json
1115,1774702169.5958786,live,True,23.8987,19.4936,0.0,-19.4936,23,15.5,75.0,"{""burn_large"": 14.129222455892378, ""burn_max"": 14.0, ""burn_medium"": 5.0, ""burn_small"": 4.0, ""target_v_final"": 7.233191863493142, ""target_v_high"": 70.0, ""target_v_low"": 16.79818998827596, ""target_v_mid"": 32.86102733325383, ""target_v_mid_high"": 45.0}"
1116,1774702174.5007463,live,True,24.4272,22.1359,0.0,-22.1359,23,9.0,75.0,"{""burn_large"": 14.83861542751028, ""burn_max"": 14.0, ""burn_medium"": 5.0, ""burn_small"": 4.0, ""target_v_final"": 2.0, ""target_v_high"": 70.0, ""target_v_low"": 18.0, ""target_v_mid"": 27.811709399511507, ""target_v_mid_high"": 45.0}"
1117,1774702179.5555868,live,True,25.1769,25.8844,0.0,-25.8844,23,4.5,75.0,"{""burn_large"": 15.290075102196523, ""burn_max"": 17.544435084356437, ""burn_medium"": 12.0, ""burn_small"": 4.0, ""target_v_final"": 2.0, ""target_v_high"": 70.0, ""target_v_low"": 15.16364237967937, ""target_v_mid"": 33.626727303254704, ""target_v_mid_high"": 45.0}"
1118,1774702184.3059976,live,True,24.899,24.4949,0.0,-24.4949,22,20.0,75.0,"{""burn_large"": 18.55698673417828, ""burn_max"": 14.444677301971701, ""burn_medium"": 10.269062714282452, ""burn_small"": 4.0, ""target_v_final"": 2.1095612304317735, ""target_v_high"": 70.0, ""target_v_low"": 16.939871480152377, ""target_v_mid"": 33.60392991933286, ""target_v_mid_high"": 45.0}"
1119,1774702188.9440072,live,True,23.8471,19.2354,0.0,-19.2354,22,14.5,75.0,"{""burn_large"": 11.430186256829765, ""burn_max"": 14.0, ""burn_medium"": 5.0, ""burn_small"": 4.0, ""target_v_final"": 2.0, ""target_v_high"": 70.0, ""target_v_low"": 18.0, ""target_v_mid"": 34.0, ""target_v_mid_high"": 45.0}"
1120,1774702193.726978,live,True,24.7749,23.8747,0.0,-23.8747,22,17.0,75.0,"{""burn_large"": 10.060239009454003, ""burn_max"": 14.0, ""burn_medium"": 12.0, ""burn_small"": 4.0, ""target_v_final"": 2.0, ""target_v_high"": 70.0, ""target_v_low"": 18.0, ""target_v_mid"": 34.0, ""target_v_mid_high"": 45.0}"
1121,1774702198.6238544,live,True,24.858,24.2899,0.0,-24.2899,23,19.0,75.0,"{""burn_large"": 12.500915674386716, ""burn_max"": 14.0, ""burn_medium"": 8.794204372960841, ""burn_small"": 4.0, ""target_v_final"": 6.881703626905189, ""target_v_high"": 70.0, ""target_v_low"": 12.489613916796745, ""target_v_mid"": 34.0, ""target_v_mid_high"": 45.0}"
1122,1774702203.4565742,live,True,24.2895,21.4476,0.0,-21.4476,22,6.0,75.0,"{""burn_large"": 13.374315138893758, ""burn_max"": 14.0, ""burn_medium"": 8.937623724361856, ""burn_small"": 4.0, ""target_v_final"": 2.8485057582786943, ""target_v_high"": 70.0, ""target_v_low"": 18.0, ""target_v_mid"": 34.0, ""target_v_mid_high"": 45.0}"
1123,1774702208.2733955,live,True,24.8166,24.0832,0.0,-24.0832,22,18.0,75.0,"{""burn_large"": 17.84887754477511, ""burn_max"": 16.850718923348882, ""burn_medium"": 7.278279146438873, ""burn_small"": 4.0, ""target_v_final"": 3.312701121839213, ""target_v_high"": 70.0, ""target_v_low"": 18.0, ""target_v_mid"": 34.0, ""target_v_mid_high"": 45.0}"
1124,1774702213.2840412,live,True,25.0596,25.2982,0.0,-25.2982,23,1.5,75.0,"{""burn_large"": 16.75694211655545, ""burn_max"": 14.0, ""burn_medium"": 5.0, ""burn_small"": 4.0, ""target_v_final"": 8.803634183497206, ""target_v_high"": 70.0, ""target_v_low"": 14.267194786724769, ""target_v_mid"": 34.0, ""target_v_mid_high"": 45.0}"
1125,1774702217.9804497,live,True,24.0988,20.4939,0.0,-20.4939,23,2.0,75.0,"{""burn_large"": 9.0, ""burn_max"": 15.61891490066808, ""burn_medium"": 6.543132647225988, ""burn_small"": 4.0, ""target_v_final"": 7.640116696620824, ""target_v_high"": 70.0, ""target_v_low"": 16.112781556710246, ""target_v_mid"": 33.33441420925463, ""target_v_mid_high"": 45.0}"
